
--- Σελίδα 1 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Α΄ |  |  | 1ο Ε ξ ά μ η ν ο (6 Μαθήματα) |  |  |  |  |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 30 | 25 | 14 | 7 | 6 |

--- Σελίδα 5 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Γ' |  |  | 5ο Ε ξ ά μ η ν ο (6 Μαθήματα) |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  | Ενεργειακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
|  |  | Ηλεκτρονικού Ηλεκτρολόγου Μηχανικού και Μηχανικού Υπολογιστών |  |  |  |  |  |
|  |  | Τηλεπικοινωνιακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Βασικές Αρχές Ηλεκτρικών Μηχανών |  | 5 | 4 | 2 | 1 | 2 |
| 2 | Αναλογικά Ηλεκτρονικά Κυκλώματα |  | 6 | 4 | 2 | 1 | 2 |
| 3 | Δομή και Λειτουργία Συστημάτων Ηλεκτρικής Ενέργειας |  | 6 | 4 | 2 | 1 | 2 |
| 4 | Οργάνωση Συστημάτων Υπολογιστών |  | 5 | 4 | 2 | 1 | 2 |
| 5 | Αρχές Τηλεπικοινωνιακών Ζεύξεων |  | 5 | 4 | 2 | 1 | 2 |
|  | ΣΥΝΟΛΟ |  | 27 | 20 | 10 | 5 | 10 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ (υποχρεωτικά 1) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Θεωρία Συστημάτων Αναμονής |  | 3 | 3 | 2 | 1 | 0 |
| 2 | Διαστημικός Καιρός |  | 3 | 3 | 2 | 1 | 0 |
| 3 | Στοχαστικές Διεργασίες |  | 3 | 3 | 2 | 1 | 0 |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 30 | 23 | 12 | 6 | 10 |

--- Σελίδα 6 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Γ΄ |  |  | 6ο Ε ξ ά μ η ν ο (6 Μαθήματα) |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  | Ενεργειακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
|  |  | Ηλεκτρονικού Ηλεκτρολόγου Μηχανικού και Μηχανικού Υπολογιστών |  |  |  |  |  |
|  |  | Τηλεπικοινωνιακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Δίκτυα |  | 5 | 4 | 2 | 1 | 2 |
| 2 | Αρχές Τηλεπικοινωνιακών Συστημάτων |  | 6 | 4 | 2 | 1 | 2 |
| 3 | Βασικές Αρχές Ηλεκτρονικών Ισχύος |  | 5 | 4 | 2 | 1 | 2 |
| 4 | Συστήματα Αυτομάτου Ελέγχου |  | 6 | 4 | 2 | 1 | 2 |
| 5 | Ηλεκτρικά Δίκτυα Καταναλωτών |  | 5 | 4 | 2 | 1 | 2 |
|  | ΣΥΝΟΛΟ |  | 27 | 20 | 10 | 5 | 10 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ (υποχρεωτικά 1) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Γραφικά με Υπολογιστές |  | 3 | 3 | 2 | 0 | 2 |
| 2 | Τεχνολογία Ήχου |  | 3 | 3 | 2 | 1 | 0 |
| 3 | Τεχνολογία Λογισμικού |  | 3 | 4 | 2 | 1 | 2 |
| 4 | Προηγμένοι Επιστημονικοί Υπολογισμοί |  | 3 | 3 | 2 | 1 | 0 |
| 5 | Φυσική πλάσματος |  | 3 | 3 | 2 | 1 | 0 |
| 6 | Εμβιοηλεκτρομαγνητισμός |  | 3 | 3 | 2 | 1 | 0 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΛΕΥΘΕΡΗΣ ΕΠΙΛΟΓΗΣ (Δεν υπολογίζονται στη λήψη του διπλώματος) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Πρακτική Άσκηση |  | 3 | 0 | 0 | 0 | 0 |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 30 | 23 | 12 | 5 | 10 |

--- Σελίδα 7 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Δ΄ |  |  | 7ο Ε ξ ά μ η ν ο (6 Μαθήματα) |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  | Ενεργειακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Ανάλυση Ηλεκτρονικών Μετατροπέων Ισχύος Σ.Τ./Σ.Τ. |  | 6 | 4 | 2 | 1 | 2 |
| 2 | Ηλεκτρικές Μηχανές Ι |  | 5 | 4 | 2 | 1 | 2 |
| 3 | Πυρηνική Τεχνολογία |  | 5 | 4 | 2 | 1 | 2 |
| 4 | Αυτοματισμοί Ενεργειακών Συστημάτων Ι |  | 5 | 4 | 2 | 1 | 2 |
| 5 | Συστήματα Ηλεκτρικών Μηχανών για Κίνηση και Ηλεκτροπαραγωγή Ι |  | 5 | 4 | 2 | 1 | 2 |
|  | ΣΥΝΟΛΟ |  | 26 | 20 | 10 | 5 | 10 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ (υποχρεωτικά 1) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Στοιχεία Ηλεκτρομηχανολογικών Διατάξεων Κίνησης και Μεταφοράς |  | 4 | 3 | 2 | 1 | 0 |
| 2 | Σχεδιασμός Εγκαταστάσεων με τη χρήση Υπολογιστών |  | 4 | 4 | 2 | 1 | 2 |
| 3 | Οποιοδήποτε υποχρεωτικό μάθημα του 7ου εξαμήνου των άλλων 2 Κατευθύνσεων Σπουδών |  | 5 ή 6 | 4 | 2 | 1 | 2 |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 30 | 23 | 12 | 6 | 10 |

--- Σελίδα 8 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Δ΄ |  |  | 7ο Ε ξ ά μ η ν ο (6 Μαθήματα) |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  | Ηλεκτρονικού Ηλεκτρολόγου Μηχανικού και Μηχανικού Υπολογιστών |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Δίκτυα Υπολογιστών |  | 5 | 4 | 2 | 1 | 2 |
| 2 | Μικροεπεξεργαστές και Εφαρμογές |  | 6 | 4 | 2 | 1 | 2 |
| 3 | Μικροηλεκτρονική Τεχνολογία και Διατάξεις |  | 5 | 4 | 2 | 1 | 2 |
| 4 | Ολοκληρωμένα Κυκλώματα |  | 5 | 4 | 2 | 1 | 2 |
| 5 | Σύγχρονος Αυτόματος Έλεγχος |  | 5 | 4 | 2 | 1 | 2 |
|  | ΣΥΝΟΛΟ |  | 26 | 20 | 10 | 5 | 10 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ (υποχρεωτικά 1) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Λειτουργικά Συστήματα |  | 4 | 4 | 2 | 1 | 2 |
| 2 | Βάσεις Δεδομένων |  | 4 | 4 | 2 | 1 | 2 |
| 3 | Ψηφιακά Τηλεπικοινωνιακά Συστήματα |  | 6 | 4 | 2 | 1 | 2 |
| 4 | Όραση Υπολογιστών |  | 4 | 4 | 2 | 1 | 2 |
| 5 | Οποιοδήποτε υποχρεωτικό μάθημα του 7ου εξαμήνου των άλλων 2 Κατευθύνσεων Σπουδών |  | 5 ή 6 | 4 | 2 | 1 | 2 |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 30 | 24 | 12 | 6 | 12 |

--- Σελίδα 9 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Δ΄ |  |  | 7ο Ε ξ ά μ η ν ο (6 Μαθήματα) |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  | Τηλεπικοινωνιακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Κεραίες Ι: Ανάλυση |  | 5 | 4 | 2 | 1 | 2 |
| 2 | Μεταφορά και Διάδοση Ραδιοκυμάτων |  | 5 | 4 | 2 | 1 | 2 |
| 3 | Μικροκύματα |  | 5 | 4 | 2 | 1 | 2 |
| 4 | Μικροεπεξεργαστές και Εφαρμογές |  | 6 | 4 | 2 | 1 | 2 |
| 5 | Ψηφιακά Τηλεπικοινωνιακά Συστήματα |  | 6 | 4 | 2 | 1 | 2 |
|  | ΣΥΝΟΛΟ |  | 27 | 20 | 10 | 5 | 10 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ (υποχρεωτικά 1) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Τηλεπισκόπιση |  | 3 | 3 | 2 | 1 | 0 |
| 2 | Λειτουργικά Συστήματα |  | 4 | 4 | 2 | 1 | 2 |
| 3 | Βάσεις Δεδομένων |  | 4 | 4 | 2 | 1 | 2 |
| 4 | Δίκτυα Υπολογιστών |  | 5 | 4 | 2 | 1 | 2 |
| 5 | Οποιοδήποτε υποχρεωτικό μάθημα του 7ου εξαμήνου των άλλων 2 Κατευθύνσεων Σπουδών |  | 5 ή 6 | 4 | 2 | 1 | 2 |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 30 | 23 | 12 | 6 | 10 |

--- Σελίδα 10 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Δ΄ |  |  | 8ο Ε ξ ά μ η ν ο (6 Μαθήματα) |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  | Ενεργειακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Ηλεκτρικές Μηχανές ΙΙ |  | 5 | 4 | 2 | 1 | 2 |
| 2 | Ενεργειακή Οικονομία |  | 5 | 4 | 2 | 1 | 2 |
| 3 | Υψηλές Τάσεις Ι |  | 5 | 4 | 2 | 1 | 2 |
| 4 | Συστήματα Ηλεκτρικών Μηχανών για Κίνηση και Ηλεκτροπαραγωγή ΙI |  | 5 | 4 | 2 | 1 | 2 |
| 5 | Μεταφορά και Διανομή Ηλεκτρικής Ενέργειας |  | 6 | 4 | 2 | 1 | 2 |
|  | ΣΥΝΟΛΟ |  | 26 | 20 | 10 | 5 | 10 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ (υποχρεωτικά 1) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Ανάλυση Ηλεκτρονικών Μετατροπέων Ισχύος Σ.Τ./Ε.Τ. |  | 4 | 4 | 2 | 1 | 2 |
| 2 | Τυποποίηση–Πρότυπα–Διαχείριση στην Ασφάλεια της Εργασίας |  | 4 | 3 | 2 | 1 | 0 |
| 3 | Λογισμός Μεταβολών |  | 3 | 3 | 2 | 1 | 0 |
| 4 | Οποιοδήποτε υποχρεωτικό μάθημα του 8ου εξαμήνου των άλλων 2 Κατευθύνσεων Σπουδών |  | 5 ή 6 | 4 | 2 | 1 | 2 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΛΕΥΘΕΡΗΣ ΕΠΙΛΟΓΗΣ (Δεν υπολογίζονται στη λήψη του διπλώματος) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Πρακτική Άσκηση |  | 3 | 0 | 0 | 0 | 0 |
| 2 | Ειδικά Θέματα Αγγλικής Ορολογίας |  | 3 | 3 | 3 | 0 | 0 |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 29 | 23 | 12 | 6 | 10 |

--- Σελίδα 11 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Δ΄ |  |  | 8ο Ε ξ ά μ η ν ο (6 Μαθήματα) 4(Υ)+2(Ο ) ή 4(Υ)+1(Ο )+1(Ο ) 1 1 2 |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  | Ηλεκτρονικού Ηλεκτρολόγου Μηχανικού και Μηχανικού Υπολογιστών |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ (Υ) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Υπολογιστική Νοημοσύνη |  | 5 | 4 | 2 | 1 | 2 |
| 2 | Συστήματα VLSI |  | 6 | 4 | 2 | 1 | 2 |
| 3 | Ψηφιακή Επεξεργασία Σήματος |  | 6 | 4 | 2 | 1 | 2 |
| 4 | Ηλεκτρονικές Μετρήσεις |  | 5 | 4 | 2 | 1 | 2 |
|  | ΣΥΝΟΛΟ |  | 22 | 16 | 8 | 4 | 8 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ - ΟΜΑΔΑ 1 (Ο ) 1 1 έως 2 ΜΑΘΗΜΑΤΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Φωτοβολταϊκά Στοιχεία και Εφαρμογές |  | 4 | 4 | 2 | 1 | 2 |
| 2 | Ψηφιακή Επεξεργασία Εικόνας |  | 4 | 4 | 2 | 1 | 2 |
| 3 | Αλγόριθμοι και Πολυπλοκότητα |  | 4 | 4 | 2 | 1 | 2 |
| 4 | Ανάλυση και Σύνθεση Πολύπλοκων Ηλεκτρονικών Συστημάτων |  | 4 | 4 | 2 | 1 | 2 |
| 5 | Αρχιτεκτονική Υπολογιστών |  | 4 | 4 | 2 | 1 | 2 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ - ΟΜΑΔΑ 2 (Ο ) 2 έως 1 ΜΑΘΗΜΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Τεχνολογία Παράλληλης Επεξεργασίας |  | 4 | 4 | 2 | 1 | 2 |
| 2 | Ανάκτηση Πληροφοριών και Εξόρυξη Δεδομένων |  | 4 | 4 | 2 | 1 | 2 |
| 3 | Κρυπτογραφία |  | 4 | 3 | 2 | 0 | 2 |
| 4 | Νανοηλεκτρονικές Διατάξεις και Κυκλώματα |  | 4 | 4 | 2 | 1 | 2 |
| 5 | Λογισμός Μεταβολών |  | 3 | 3 | 2 | 1 | 0 |
| 6 | Οποιοδήποτε υποχρεωτικό μάθημα του 8ου εξαμήνου των άλλων 2 Κατευθύνσεων Σπουδών |  | 5 ή 6 | 4 | 2 | 1 | 2 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΛΕΥΘΕΡΗΣ ΕΠΙΛΟΓΗΣ (Δεν υπολογίζονται στη λήψη του διπλώματος) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Πρακτική Άσκηση |  | 3 | 0 | 0 | 0 | 0 |
| 2 | Ειδικά Θέματα Αγγλικής Ορολογίας |  | 3 | 3 | 3 | 0 | 0 |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 29 | 23 | 12 | 5 | 10 |

--- Σελίδα 12 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Δ΄ |  |  | 8ο Ε ξ ά μ η ν ο (6 Μαθήματα) |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  | Τηλεπικοινωνιακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ (Υ) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Κεραίες ΙΙ: Σύνθεση, Σχεδιασμός |  | 5 | 4 | 2 | 1 | 2 |
| 2 | Σχεδιασμός Μικροκυματικών Κυκλωμάτων |  | 6 | 4 | 2 | 1 | 2 |
| 3 | Σχεδιασμός Τηλεπικοινωνιακών Ζεύξεων |  | 5 | 4 | 2 | 1 | 2 |
| 4 | Δίκτυα Επικοινωνιών |  | 5 | 4 | 2 | 1 | 2 |
| 5 | Ψηφιακή Επεξεργασία Σήματος |  | 6 | 4 | 2 | 1 | 2 |
|  | ΣΥΝΟΛΟ |  | 27 | 20 | 10 | 5 | 10 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ (υποχρεωτικά 1) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Μετρήσεις Υψηλών Συχνοτήτων |  | 4 | 4 | 2 | 1 | 2 |
| 2 | Σχεδιασμός Τηλεπικοινωνιακών Κυκλωμάτων Υψηλών Συχνοτήτων (RF) |  | 3 | 3 | 2 | 1 | 0 |
| 3 | Επίλυση Προβλημάτων Ηλεκτρομαγνητισμού με Αριθμητικές Μεθόδους |  | 3 | 3 | 2 | 1 | 0 |
| 4 | Λογισμός Μεταβολών |  | 3 | 3 | 2 | 1 | 0 |
| 5 | Οποιοδήποτε υποχρεωτικό μάθημα του 8ου εξαμήνου των άλλων 2 Κατευθύνσεων Σπουδών |  | 5 ή 6 | 4 | 2 | 1 | 2 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΛΕΥΘΕΡΗΣ ΕΠΙΛΟΓΗΣ (Δεν υπολογίζονται στη λήψη του διπλώματος) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Πρακτική Άσκηση |  | 3 | 0 | 0 | 0 | 0 |
| 2 | Ειδικά Θέματα Αγγλικής Ορολογίας |  | 3 | 3 | 3 | 0 | 0 |
